full time series of predicted survey index
survey year spp area pred_survey
1 84 8 1 0.937411
1 84 9 1 1234.11
1 84 10 1 0.780136
1 85 1 1 4.0876
1 85 2 1 0.0380374
1 85 3 1 7.39159e-07
1 85 4 1 1527.78
1 85 5 1 7.12988e-07
1 85 6 1 0.663401
1 85 7 1 0.393149
1 85 8 1 0.938003
1 85 9 1 1234.11
1 85 10 1 0.779675
1 86 1 1 4.0103
1 86 2 1 0.0391824
1 86 3 1 7.21117e-07
1 86 4 1 1527.78
1 86 5 1 4.88354e-07
1 86 6 1 0.727805
1 86 7 1 0.391438
1 86 8 1 0.916461
1 86 9 1 1234.11
1 86 10 1 0.783472
1 87 1 1 3.95842
1 87 2 1 0.0379153
1 87 3 1 6.18025e-07
1 87 4 1 1527.78
1 87 5 1 3.37774e-07
1 87 6 1 0.736994
1 87 7 1 0.388386
1 87 8 1 0.90834
1 87 9 1 1234.11
1 87 10 1 0.782861
1 88 1 1 3.92899
1 88 2 1 0.0354967
1 88 3 1 5.10107e-07
1 88 4 1 1527.78
1 88 5 1 2.35161e-07
1 88 6 1 0.712235
1 88 7 1 0.386784
1 88 8 1 0.908604
1 88 9 1 1234.11
1 88 10 1 0.778664
1 89 1 1 3.97044
1 89 2 1 0.0336203
1 89 3 1 3.82814e-07
1 89 4 1 1527.78
1 89 5 1 1.84801e-07
1 89 6 1 0.662413
1 89 7 1 0.386677
1 89 8 1 0.92335
1 89 9 1 1234.11
1 89 10 1 0.774771
1 90 1 1 4.07782
1 90 2 1 0.0321733
1 90 3 1 2.76994e-07
1 90 4 1 1527.78
1 90 5 1 1.55489e-07
1 90 6 1 0.577332
1 90 7 1 0.387476
1 90 8 1 0.948977
1 90 9 1 1234.11
1 90 10 1 0.7745
1 91 1 1 4.17167
1 91 2 1 0.0311785
1 91 3 1 2.42619e-07
1 91 4 1 1527.78
1 91 5 1 1.21896e-07
1 91 6 1 0.569474
1 91 7 1 0.388204
1 91 8 1 0.964884
1 91 9 1 1234.11
1 91 10 1 0.780878
1 92 1 1 4.18448
1 92 2 1 0.0322179
1 92 3 1 2.54867e-07
1 92 4 1 1527.78
1 92 5 1 8.72561e-08
1 92 6 1 0.665936
1 92 7 1 0.387868
1 92 8 1 0.957014
1 92 9 1 1234.11
1 92 10 1 0.792672
1 93 1 1 4.10955
1 93 2 1 0.0332761
1 93 3 1 2.4268e-07
1 93 4 1 1527.78
1 93 5 1 6.03263e-08
1 93 6 1 0.768277
1 93 7 1 0.385031
1 93 8 1 0.934258
1 93 9 1 1234.11
1 93 10 1 0.800577
1 94 1 1 4.05361
1 94 2 1 0.033421
1 94 3 1 2.10999e-07
1 94 4 1 1527.78
1 94 5 1 4.2187e-08
1 94 6 1 0.809129
1 94 7 1 0.383319
1 94 8 1 0.922452
1 94 9 1 1234.11
1 94 10 1 0.801546
1 95 1 1 3.98057
1 95 2 1 0.0332288
1 95 3 1 1.84065e-07
1 95 4 1 1527.78
1 95 5 1 2.94409e-08
1 95 6 1 0.815737
1 95 7 1 0.381438
1 95 8 1 0.909813
1 95 9 1 1234.11
1 95 10 1 0.796415
1 96 1 1 3.91039
1 96 2 1 0.0326699
1 96 3 1 1.58918e-07
1 96 4 1 1527.78
1 96 5 1 2.05342e-08
1 96 6 1 0.790716
1 96 7 1 0.379462
1 96 8 1 0.900606
1 96 9 1 1234.11
1 96 10 1 0.788007
1 97 1 1 3.84921
1 97 2 1 0.032085
1 97 3 1 1.37473e-07
1 97 4 1 1527.78
1 97 5 1 1.42775e-08
1 97 6 1 0.757343
1 97 7 1 0.378005
